Athlete,Team,Score,Remark,Form
AIT-ZERROUK Karim,DZA,(DNS),,. Men's Taijishan/Taijidao Routines- Group D/E
HU Liqing,CHN,8.76,1ST Prize,. Men's Other Taijijian Routines-Group E
LIM Che How,SGP,8.7,1ST Prize,. Men's Other Taijijian Routines-Group E
TAY Ah Huat,SGP,8.67,2ND Prize,. Men's Other Taijijian Routines-Group E
YAN Haichun,CHN,8.64,2ND Prize,. Men's Other Taijijian Routines-Group E
FU Nengbin,CHN,8.63,2ND Prize,. Men's Other Taijijian Routines-Group E
ZHANG Cheng,USA,8.62,2ND Prize,. Men's Other Taijijian Routines-Group E
VLASENKO Romans,LVA,8.59,3RD Prize,. Men's Other Taijijian Routines-Group E
SLAMKA Michal,SVK,8.58,3RD Prize,. Men's Other Taijijian Routines-Group E
ORICCHIO Alexandre Maximilien Marc,CHE,8.57,3RD Prize,. Men's Other Taijijian Routines-Group E
TIAN Chunyang,MAC,8.56,3RD Prize,. Men's Other Taijijian Routines-Group E
SUMBULASHVILI Lasha,GEO,8.51,3RD Prize,. Men's Other Taijijian Routines-Group E
BROWN Mitchell Alexander Leon,AUS,8.51,,. Men's Other Taijijian Routines-Group E
NIKISINS Aleksejs,LVA,8.5,,. Men's Other Taijijian Routines-Group E
HERATH MUDIYANSELAGE Ananda Kumara,LKA,8.48,,. Men's Other Taijijian Routines-Group E
DYBICZ Tomasz Jacek,POL,8.48,,. Men's Other Taijijian Routines-Group E
BERRY Brett James,ZAF,8.47,,. Men's Other Taijijian Routines-Group E
FERNANDO Punchividanelage Mahesh Deepal,LKA,8.45,,. Men's Other Taijijian Routines-Group E
HAUSKA Jiri,CZE,8.27,,. Men's Other Taijijian Routines-Group E
1STAMATOPOULOS Grigorios,GRC,(DNS),,. Men's Other Taijijian Routines-Group E
ZHANG Qianqiu,CHN,8.79,1ST Prize,. Men's Taijidao-Group E
ANG Boon Seng Royce,SGP,8.66,2ND Prize,. Men's Taijidao-Group E
MARTINS GONCALVES Marco Antonio,PRT,8.51,3RD Prize,. Men's Taijidao-Group E
LOPEZ MORENO Raul,ESP,8.5,3RD Prize,. Men's Taijidao-Group E
MIHAILA Claudiu,ROU,8.29,,. Men's Taijidao-Group E
ZHOU Xu,CAN,8.25,,. Men's Taijidao-Group E
LON Weng Kam,MAC,8.61,1ST Prize,. Men's Taijijian-Group F
NIÑO ORTEGA Eloy Alberto,ESP,8.55,2ND Prize,. Men's Taijijian-Group F
LEHMANN Nicholas Du?,USA,8.51,3RD Prize,. Men's Taijijian-Group F
LO Wing Kit Albert,AUS,8.46,3RD Prize,. Men's Taijijian-Group F
CHAN Han Yeh,AUS,8.38,,. Men's Taijijian-Group F
DONG Dennis Bokui,USA,8.47,1ST Prize,. Men's Other Double- Weapon Routines-Group A/B
WENG Linxu,SGP,8.42,2ND Prize,. Men's Other Double- Weapon Routines-Group A/B
YAP Jun Kai,MYS,8.41,3RD Prize,. Men's Other Double- Weapon Routines-Group A/B
WANG Allan Chenxi,USA,8.4,3RD Prize,. Men's Other Double- Weapon Routines-Group A/B
ZHANG Jason,USA,8.33,,. Men's Other Double- Weapon Routines-Group A/B
CHIN Shawn,MYS,8.29,,. Men's Other Double- Weapon Routines-Group A/B
CHAN Fengze,MAC,8.47,1ST Prize,. Men's Other Single-Weapon Routines-Group B
HE Dragon,USA,8.46,1ST Prize,. Men's Other Single-Weapon Routines-Group B
FRENKEL David,ISR,8.44,2ND Prize,. Men's Other Single-Weapon Routines-Group B
MOHAMED IBRAHIM Mohamed Mokhtar,EGY,8.42,2ND Prize,. Men's Other Single-Weapon Routines-Group B
TAN Qi Han Darren,SGP,8.41,3RD Prize,. Men's Other Single-Weapon Routines-Group B
ZWAAL Jan Joris,NLD,8.4,3RD Prize,. Men's Other Single-Weapon Routines-Group B
HUANACUNI PINEDO Huaskar Soriam,BOL,8.37,3RD Prize,. Men's Other Single-Weapon Routines-Group B
ZHOU Zichin,AUS,8.31,,. Men's Other Single-Weapon Routines-Group B
RAZO ACOSTA Jose Luis,MEX,8.24,,. Men's Other Single-Weapon Routines-Group B
TORRES RODRIGUEZ Mario Rafael,MEX,8.1,,. Men's Other Single-Weapon Routines-Group B
LEON RAZNATOVIC Darko Alejandro,BOL,(DNS),,. Men's Other Single-Weapon Routines-Group B
OMAR EMAD Shehata Tony,EGY,8.67,1ST Prize,. Men'sShuangdao (Double Broadsword)- Group C
ZHENG Lin,USA,8.66,2ND Prize,. Men'sShuangdao (Double Broadsword)- Group C
ALVAREZ RUIZ Mario Alejandro,MEX,8.64,2ND Prize,. Men'sShuangdao (Double Broadsword)- Group C
LI Jasper Zhen Bao,USA,8.61,3RD Prize,. Men'sShuangdao (Double Broadsword)- Group C
Jack William CALDICOTT,GBR,8.59,3RD Prize,. Men'sShuangdao (Double Broadsword)- Group C
CHEOK Wa Weng,MAC,8.53,,. Men'sShuangdao (Double Broadsword)- Group C
TOUROUTSIKAS Panagiotis,GRC,8.51,,. Men'sShuangdao (Double Broadsword)- Group C
ZHADIGER Alkarim,KAZ,8.49,,. Men'sShuangdao (Double Broadsword)- Group C
LI Chengrui,USA,(DNS),,. Men'sShuangdao (Double Broadsword)- Group C
WANG Justin Xuming,USA,8.95,1ST Prize,. Men's Other Double-Weapon Routines-Group C
JULLIAN Banyan Noel Yu Hai,USA,8.75,2ND Prize,. Men's Other Double-Weapon Routines-Group C
LEI Wang Chun,HKG,8.65,2ND Prize,. Men's Other Double-Weapon Routines-Group C
VIRO Lazuardi Jana,IDN,8.55,3RD Prize,. Men's Other Double-Weapon Routines-Group C
DINCU Mihai Daniel,ROU,8.55,3RD Prize,. Men's Other Double-Weapon Routines-Group C
HUANG Daniel Jiang,USA,8.54,3RD Prize,. Men's Other Double-Weapon Routines-Group C
Matthew Carleton WRIGHT,GBR,8.53,,. Men's Other Double-Weapon Routines-Group C
DERZKO Franciszek Jan,POL,8.51,,. Men's Other Double-Weapon Routines-Group C
MOHAMED AHMED Fathalla Taha,EGY,8.44,,. Men's Other Double-Weapon Routines-Group C
MENDEZ COBA Jose Fernando,MEX,8.42,,. Men's Other Double-Weapon Routines-Group C
YOSHIDA Yuhi,JPN,7.64,,. Men's Other Double-Weapon Routines-Group C
LIU Albert,USA,8.79,1ST Prize,. Men's Jiujiebian (Nine Section Whip Chain)-Group C
WONG Kaden Dan,USA,8.75,2ND Prize,. Men's Jiujiebian (Nine Section Whip Chain)-Group C
Junayde Ilhan GUVEN,GBR,8.65,3RD Prize,. Men's Jiujiebian (Nine Section Whip Chain)-Group C
LU Kelvin Yu,USA,8.58,3RD Prize,. Men's Jiujiebian (Nine Section Whip Chain)-Group C
BAI Lawren,USA,8.41,,. Men's Jiujiebian (Nine Section Whip Chain)-Group C
LEW Casey Tianyu,USA,8.7,2ND Prize,. Men's Other Soft-Weapon Routines-Group C
YEUNG Cheuk Yin,HKG,8.69,3RD Prize,. Men's Other Soft-Weapon Routines-Group C
LEUNG Wai Man,HKG,8.5,,. Men's Other Soft-Weapon Routines-Group C
HUANG Samuel Jiang,USA,8.48,,. Men's Other Soft-Weapon Routines-Group C
TEMIME Yazid,DZA,(DNS),,. Men's Other Soft-Weapon Routines-Group C
BOUKHENNOUFA Yacine,DZA,(DNS),,. Men's Other Soft-Weapon Routines-Group C
WU Brad Tianzhou,USA,(DNS),,. Men's Other Soft-Weapon Routines-Group C
BILUT Tomasz,POL,8.71,1ST Prize,. Men's Shuangbishou (Double Daggers)-Group D
NG Shao Chun,SGP,8.7,2ND Prize,. Men's Shuangbishou (Double Daggers)-Group D
IOANA Mihai,ROU,8.63,3RD Prize,. Men's Shuangbishou (Double Daggers)-Group D
CHOI Alexander Martin,USA,8.52,3RD Prize,. Men's Shuangbishou (Double Daggers)-Group D
DAOUDI Moubarak,BEL,8.51,,. Men's Shuangbishou (Double Daggers)-Group D
ZHARUN Maksym,UKR,9.1,1ST Prize,. Men's Shuangdao (Double Broadsword)-Group D
KRYSKO Viacheslav,UKR,9.07,2ND Prize,. Men's Shuangdao (Double Broadsword)-Group D
CHEN Jinsong,HKG,9,2ND Prize,. Men's Shuangdao (Double Broadsword)-Group D
RAJPUT Rajat,IND,8.7,3RD Prize,. Men's Shuangdao (Double Broadsword)-Group D
ZEDDA Valerio,ITA,8.66,3RD Prize,. Men's Shuangdao (Double Broadsword)-Group D
KARWOWSKI Jakub,POL,8.6,3RD Prize,. Men's Shuangdao (Double Broadsword)-Group D
CALADO GUERREIRO Salvador,PRT,8.6,,. Men's Shuangdao (Double Broadsword)-Group D
LEGASPI Regin Ryan Ralleca,AUS,8.56,,. Men's Shuangdao (Double Broadsword)-Group D
SZPOCZEK Micha? Krzysztof,POL,8.51,,. Men's Shuangdao (Double Broadsword)-Group D
WANG Qianlong,CHN,8.9,1ST Prize,. Men's Other Double-Weapon Routines-Group D
NASR IBRAHIM Taw?k Mossad Salem,EGY,8.89,1ST Prize,. Men's Other Double-Weapon Routines-Group D
YANG Xu,CHN,8.87,2ND Prize,. Men's Other Double-Weapon Routines-Group D
ZHANG Yuyang,CHN,8.84,2ND Prize,. Men's Other Double-Weapon Routines-Group D
PAPAEFTHYMIOU Konstantinos,GRC,8.81,2ND Prize,. Men's Other Double-Weapon Routines-Group D
DE OLIVEIRA MANACERO Miguel,BRA,8.8,3RD Prize,. Men's Other Double-Weapon Routines-Group D
KOLISNYK Oleksii,UKR,8.79,3RD Prize,. Men's Other Double-Weapon Routines-Group D
WONG Cho Wai Gabriel,HKG,8.76,3RD Prize,. Men's Other Double-Weapon Routines-Group D
CHOONG Chee Wei,MYS,8.76,3RD Prize,. Men's Other Double-Weapon Routines-Group D
JURAEV Abbos,TJK,8.63,3RD Prize,. Men's Other Double-Weapon Routines-Group D
ARISTIDE Julien,FRA,8.6,,. Men's Other Double-Weapon Routines-Group D
SIGMON Kirk Allen,USA,8.55,,. Men's Other Double-Weapon Routines-Group D
IANA Mihail Alexandru,ROU,8.54,,. Men's Other Double-Weapon Routines-Group D
CHARLES Sutanto,IDN,0,,. Men's Other Double-Weapon Routines-Group D
OLIINYK Andrii,UKR,0,,. Men's Other Double-Weapon Routines-Group D
CHAN Tsz Sa,HKG,8.68,1ST Prize,. Women's -posture Taijijian-Group C
PARADIUK Vanessa Weronika,POL,8.62,2ND Prize,. Women's -posture Taijijian-Group C
ELLIE SHERIF Magdy Eskander,EGY,8.58,3RD Prize,. Women's -posture Taijijian-Group C
MAQUILAN Alessandra May,PHL,8.57,3RD Prize,. Women's -posture Taijijian-Group C
MENDIS AMARASEKERA Samadhee Prathibha,LKA,8.46,,. Women's -posture Taijijian-Group C
IMBULAPITIYE GEDARA Pramodya Sewmini Rathnayake,LKA,8.4,,. Women's -posture Taijijian-Group C
ANNIS Beatrice,ITA,8.58,1ST Prize,. Women's Taijijian-Group C
KUZEMBAY Aiymzhan,KAZ,8.51,2ND Prize,. Women's Taijijian-Group C
BELEAN Oana Vasilica,ROU,8.49,2ND Prize,. Women's Taijijian-Group C
LEE MO LIN Estelle Shannon Lian Chu,MUS,8.46,3RD Prize,. Women's Taijijian-Group C
LABONI YONG Poi Qa,MYS,8.45,3RD Prize,. Women's Taijijian-Group C
TECI Alexandra Jasmine,ROU,8.41,,. Women's Taijijian-Group C
CHONG CHAP SIN Marie Kim Lan,MUS,8.4,,. Women's Taijijian-Group C
SOWARUTH Dishita,MUS,8.34,,. Women's Taijijian-Group C
COKHAMUR Ecrin,TUR,(DNS),,. Women's Taijijian-Group C
KOLISNYK Mariia,UKR,(DNS),,. Women's Taijijian-Group C
PAN Qiaoshan,CHN,8.84,1ST Prize,. Women's -posture Taijijian-Group D
YEUNG Debbie,HKG,8.7,2ND Prize,. Women's -posture Taijijian-Group D
ANASTASIU Denisa Ruxandra,ROU,8.66,3RD Prize,. Women's -posture Taijijian-Group D
VALENTIM UEMOTO Katemann Akemi,BRA,8.62,3RD Prize,. Women's -posture Taijijian-Group D
PAVAN Beatriz Danielle,BRA,8.53,,. Women's -posture Taijijian-Group D
DAUNDASEKARA MUDIYANSELAGE Sachari Lanka,LKA,8.32,,. Women's -posture Taijijian-Group D
WANG Shiyu,CHN,8.77,1ST Prize,. Women's Taijijian-Group D
AU-YEUNG Pui Yue,HKG,8.7,2ND Prize,. Women's Taijijian-Group D
HUNG Si Fan,MAC,8.65,2ND Prize,. Women's Taijijian-Group D
IVANOVA Oryna,UKR,8.65,3RD Prize,. Women's Taijijian-Group D
WAI Pui Cheng,MAC,8.62,3RD Prize,. Women's Taijijian-Group D
KUBIAK Anna Maria,POL,8.56,3RD Prize,. Women's Taijijian-Group D
WONG KAM LAN Jessica Rachel,MUS,8.53,,. Women's Taijijian-Group D
CHIKHLADZE Nino,GEO,8.52,,. Women's Taijijian-Group D
HEIDTMANN Anna Paulina,DEU,8.5,,. Women's Taijijian-Group D
FOSSA Enrica,ITA,8.46,,. Women's Taijijian-Group D
YAN Ningning,CHN,8.82,1ST Prize,. Women's Taijishan-Group D
TAY Kai Xin Ranice,SGP,8.73,2ND Prize,. Women's Taijishan-Group D
GRINDEANU Sonia,ROU,8.64,2ND Prize,. Women's Taijishan-Group D
CHEUNG Ophil,HKG,8.51,3RD Prize,. Women's Taijishan-Group D
ROMERO Shaman,FRA,8.47,3RD Prize,. Women's Taijishan-Group D
SHARMA Abhigya,IND,8.41,,. Women's Taijishan-Group D
NIÑO GONZALEZ Alba,ESP,8.14,,. Women's Taijishan-Group D
HUANACUNI BALDIVIESO Maya Melisa,BOL,8.1,,. Women's Taijishan-Group D
NG Chiew Yen,SGP,8.7,1ST Prize,. Women's Other Taijijian Routines-Group E
GABESKIRIA Maka,GEO,8.61,2ND Prize,. Women's Other Taijijian Routines-Group E
NESHCHERET Natalia,KGZ,8.55,2ND Prize,. Women's Other Taijijian Routines-Group E
TRAN CONG Francine,FRA,8.54,3RD Prize,. Women's Other Taijijian Routines-Group E
ZHU-HIPTMAIR Guirong,CHE,8.53,3RD Prize,. Women's Other Taijijian Routines-Group E
ZHIGALKINA Tatyana,KAZ,8.52,3RD Prize,. Women's Other Taijijian Routines-Group E
YANG Lili,USA,8.5,,. Women's Other Taijijian Routines-Group E
ROVIRA-ALVAREZ Nelly Esther,USA,8.49,,. Women's Other Taijijian Routines-Group E
KLEJCHOVÁ Michaela,SVK,8.44,,. Women's Other Taijijian Routines-Group E
UEDA Mikiko,JPN,8.43,,. Women's Other Taijijian Routines-Group E
GUEDES Marta Denise,BRA,(DNS),,. Women's Other Taijijian Routines-Group E
JASLYN TAN Yu Ching,MYS,8.59,1ST Prize,. Women's Other Taiji Weapon Routines-Group C/E
CHAO Haiya,CHN,8.58,2ND Prize,. Women's Other Taiji Weapon Routines-Group C/E
1STANKOVA Marketa,CZE,8.57,3RD Prize,. Women's Other Taiji Weapon Routines-Group C/E
POINT Flora,FRA,8.55,3RD Prize,. Women's Other Taiji Weapon Routines-Group C/E
PHAM Thi Huong,VNM,8.54,,. Women's Other Taiji Weapon Routines-Group C/E
RODRIGUES CHARNECO Mariana,PRT,8.5,,. Women's Other Taiji Weapon Routines-Group C/E
PINEDO SORUCO Cecilia Esperanza,BOL,8.47,,. Women's Other Taiji Weapon Routines-Group C/E
CHEONG Lao Leng,MAC,8.6,1ST Prize,. Women's Other Taijijian Routines-Group F
PAK Tatiana,KGZ,8.58,2ND Prize,. Women's Other Taijijian Routines-Group F
YE Kanglian,DEU,8.56,3RD Prize,. Women's Other Taijijian Routines-Group F
HAYASHI Kyoko,JPN,8.54,3RD Prize,. Women's Other Taijijian Routines-Group F
DINH Thi Thuy Lan,VNM,8.51,,. Women's Other Taijijian Routines-Group F
ZASLAWSKI Louise Edna Anne,AUS,8.45,,. Women's Other Taijijian Routines-Group F
MC CARDLE Candace Jane,ZAF,8.43,,. Women's Other Taijijian Routines-Group F
CHAN I Lo,MAC,(DNS),,. Women's Other Taijijian Routines-Group F
CHEN Yu,CHN,8.98,1ST Prize,. Women's Other Double-Weapon Routines-Group D
ZHANG Xue,CHN,8.88,1ST Prize,. Women's Other Double-Weapon Routines-Group D
LI Na,CHN,8.7,2ND Prize,. Women's Other Double-Weapon Routines-Group D
LOW Qiu Min Elicia,SGP,8.61,2ND Prize,. Women's Other Double-Weapon Routines-Group D
TAN Shi Xuan Esther,SGP,8.6,2ND Prize,. Women's Other Double-Weapon Routines-Group D
TAN Wei Qing Regina,SGP,8.59,3RD Prize,. Women's Other Double-Weapon Routines-Group D
DE LA ROSA LIRA Grace Guadalupe,MEX,8.54,3RD Prize,. Women's Other Double-Weapon Routines-Group D
NASCIMENTO CELESTINO GUERREIRO Suelen Cristina,BRA,8.53,3RD Prize,. Women's Other Double-Weapon Routines-Group D
OBEANU Mara Georgia Alina,ROU,8.52,3RD Prize,. Women's Other Double-Weapon Routines-Group D
ACOSTA ORTEGA Yuliana Sarahi,MEX,8.47,3RD Prize,. Women's Other Double-Weapon Routines-Group D
JACOBS Shannon Stephanie,ZAF,8.45,,. Women's Other Double-Weapon Routines-Group D
ALEXANDRA Dwi Putri,IDN,8.44,,. Women's Other Double-Weapon Routines-Group D
GORDON Ayla Nunnehi,USA,8.42,,. Women's Other Double-Weapon Routines-Group D
SKORUPA Agnieszka Barbara,POL,8.41,,. Women's Other Double-Weapon Routines-Group D
LIRA ACOSTA Andrea Sulim,MEX,8.3,,. Women's Other Double-Weapon Routines-Group D
Chong Yaru,CHN,8.96,1ST Prize,. Women's Shuangjian -Group D
KRYSKO Alina,UKR,8.79,2ND Prize,. Women's Shuangjian -Group D
CHIRILIUC Anastasia,ISR,8.73,2ND Prize,. Women's Shuangjian -Group D
MOVSHOVICH Shelly,ISR,8.7,3RD Prize,. Women's Shuangjian -Group D
YANG Josepha,FRA,8.65,3RD Prize,. Women's Shuangjian -Group D
YIM Wing Tung,HKG,8.65,3RD Prize,. Women's Shuangjian -Group D
DISARO Chantal,DEU,8.59,,. Women's Shuangjian -Group D
KOKUMBEK KYZY Eles,KGZ,8.54,,. Women's Shuangjian -Group D
MEDRANO MENDOZA Yessenia Arizbeth,MEX,8.53,,. Women's Shuangjian -Group D
ONDROVI?OVÁ Lenka,SVK,8.51,,. Women's Shuangjian -Group D
HEMLI Sirine,TUN,8.4,,. Women's Shuangjian -Group D
AKYUZ Elif,TUR,(DNS),,. Women's Shuangjian -Group D
YAZYKOVA Maryna,UKR,(DNS),,. Women's Shuangjian -Group D
MATOS COSTA Mafalda,PRT,8.58,1ST Prize,. Women's Jian (Straight Sword)-Group E
ARUTYUNJAN Maria,HUN,8.49,2ND Prize,. Women's Jian (Straight Sword)-Group E
GAO Lin,USA,8.42,3RD Prize,. Women's Jian (Straight Sword)-Group E
KONSTANTINOU Maria,GRC,8.4,3RD Prize,. Women's Jian (Straight Sword)-Group E
WANG Zhong,CHN,8.31,,. Women's Jian (Straight Sword)-Group E
LI Jinsong,CHN,8.72,1ST Prize,. Women's Other Single-Weapon Routines-Group D
SIRTO Elisabetta,ITA,8.7,1ST Prize,. Women's Other Single-Weapon Routines-Group D
NGUYEN Thi Thao Nguyen,VNM,8.66,2ND Prize,. Women's Other Single-Weapon Routines-Group D
ALENCAR RIBEIRO Regina Helena,BRA,8.58,2ND Prize,. Women's Other Single-Weapon Routines-Group D
HATALOVÁ Hanka,SVK,8.56,2ND Prize,. Women's Other Single-Weapon Routines-Group D
BENCINI CRUZ Silvia,PRT,8.55,3RD Prize,. Women's Other Single-Weapon Routines-Group D
TASHMATOVA Aisalkyn,KGZ,8.54,3RD Prize,. Women's Other Single-Weapon Routines-Group D
PODAKANTI Pavithra Chary,IND,8.53,3RD Prize,. Women's Other Single-Weapon Routines-Group D
NASCIMENTO CELESTINO GUERREIRO Suelen Cristina,BRA,8.52,3RD Prize,. Women's Other Single-Weapon Routines-Group D
JACOBS Bianca Candice,ZAF,8.52,3RD Prize,. Women's Other Single-Weapon Routines-Group D
KOKOLESI Elena,GRC,8.51,,. Women's Other Single-Weapon Routines-Group D
PANECATL URQUIZA Karen Priscila,MEX,8.5,,. Women's Other Single-Weapon Routines-Group D
MICU Lorena Eliana,ROU,8.48,,. Women's Other Single-Weapon Routines-Group D
DU PLESSIS Nerine,ZAF,8.45,,. Women's Other Single-Weapon Routines-Group D
VATZAKA Maria Eleni,GRC,8.44,,. Women's Other Single-Weapon Routines-Group D
ZHU Ieng Ieng,MAC,8.26,,. Women's Other Single-Weapon Routines-Group D
KEN Rui Xin,SGP,(DNS),,. Women's Other Single-Weapon Routines-Group D
HEIDTMANN Anna Paulina,DEU,(DNS),,. Women's Other Single-Weapon Routines-Group D
HAN Junxia,CHN,8.79,1ST Prize,. Women's Other Single-Weapon Routines-Group E/F
AMIDANI SOARES DE AZEVEDO Paula,BRA,8.59,1ST Prize,. Women's Other Single-Weapon Routines-Group E/F
KOKKINAKI Anna,GRC,8.57,1ST Prize,. Women's Other Single-Weapon Routines-Group E/F
HO Lai Sim,MAC,8.56,2ND Prize,. Women's Other Single-Weapon Routines-Group E/F
MAK Angela Jia Li,AUS,8.55,2ND Prize,. Women's Other Single-Weapon Routines-Group E/F
ROMANO CARDOSO SILVESTRE Nina,BRA,8.5,2ND Prize,. Women's Other Single-Weapon Routines-Group E/F
CHRYSOSTOMOU Daniela,ZAF,8.49,3RD Prize,. Women's Other Single-Weapon Routines-Group E/F
Michele Maki NAKASONE,GBR,8.47,3RD Prize,. Women's Other Single-Weapon Routines-Group E/F
KHOO Cheng Choo,AUS,8.45,3RD Prize,. Women's Other Single-Weapon Routines-Group E/F
SERIAKOVA Liubov,KGZ,8.44,3RD Prize,. Women's Other Single-Weapon Routines-Group E/F
PAVLENKO Elena,KGZ,8.42,,. Women's Other Single-Weapon Routines-Group E/F
HERMANS Rosemary,AUS,8.39,,. Women's Other Single-Weapon Routines-Group E/F
ROVIRA-ALVAREZ Carmen Margarita,USA,8.36,,. Women's Other Single-Weapon Routines-Group E/F
TRAN CONG Francine,FRA,(DNS),,. Women's Other Single-Weapon Routines-Group E/F
DAI Weilong,CHN,8.87,2ND Prize,. Women's Other Soft-Weapon Routines-Group D/E
YEUNG Michelle,HKG,8.72,3RD Prize,. Women's Other Soft-Weapon Routines-Group D/E
KAZAKOVA Elena,LVA,8.44,,. Women's Other Soft-Weapon Routines-Group D/E
TEMIME Kahina,DZA,(DNS),,. Women's Other Soft-Weapon Routines-Group D/E
MOHAND SAIDI Katia,DZA,(DNS),,. Women's Other Soft-Weapon Routines-Group D/E
ENGEL Beata,POL,8.55,1ST Prize,. Women's Other Double-Weapon Routines-Group E/F
RAMOS CANDEIAS Irene Regina,PRT,8.54,2ND Prize,. Women's Other Double-Weapon Routines-Group E/F
DE SALES SOARES DE MELO Cristina,PRT,8.52,3RD Prize,. Women's Other Double-Weapon Routines-Group E/F
PAPADOPOULOU Elisavet,GRC,8.5,3RD Prize,. Women's Other Double-Weapon Routines-Group E/F
GALLARDO PAJUELO Ana,ESP,8.48,,. Women's Other Double-Weapon Routines-Group E/F
ROMERO Sabine,FRA,8.45,,. Women's Other Double-Weapon Routines-Group E/F
PHAN Van Anh Hao,VNM,8.61,2ND Prize,. Men's Jiujiebian (Nine Section Whip Chain)-Group D
ANDERSSON Ted Fredrik,SWE,8.58,3RD Prize,. Men's Jiujiebian (Nine Section Whip Chain)-Group D
JANGID Nakshatra,IND,8.53,,. Men's Jiujiebian (Nine Section Whip Chain)-Group D
RADULESCU Dan Mihai,ROU,(DNS),,. Men's Jiujiebian (Nine Section Whip Chain)-Group D
KWOK Kwan Ho,HKG,(DNS),,. Men's Jiujiebian (Nine Section Whip Chain)-Group D
SHI Xiaolong,CHN,9.01,1ST Prize,. Men's Pudao-Group D
REVA Roman,UKR,8.85,2ND Prize,. Men's Pudao-Group D
COLLADO SAIZ Francisco,ESP,8.73,2ND Prize,. Men's Pudao-Group D
LIRA ACOSTA Jesus Alfredo,MEX,8.7,3RD Prize,. Men's Pudao-Group D
KOW Zer Xuan,MYS,8.65,3RD Prize,. Men's Pudao-Group D
GONZALEZ MARMOLEJO Luis Arturo,MEX,8.64,3RD Prize,. Men's Pudao-Group D
RESENDE DE SOUSA Bruno Miguel,PRT,8.58,,. Men's Pudao-Group D
Connor James BLACK,GBR,8.5,,. Men's Pudao-Group D
AKYUZ Necmett?N Erbakan,TUR,7.8,,. Men's Pudao-Group D
KROETZ Benjamin Fritz Ludwig,DEU,(DNS),,. Men's Pudao-Group D
WANG Dian,CHN,8.92,1ST Prize,. Men's Qiang (Spear)-Group D
DAO Vi Dat,VNM,8.61,2ND Prize,. Men's Qiang (Spear)-Group D
AZEVEDO Miguel Angelo,PRT,8.6,3RD Prize,. Men's Qiang (Spear)-Group D
BARTOŠ Filip,SVK,8.59,3RD Prize,. Men's Qiang (Spear)-Group D
DAVNAM Parth,IND,8.22,,. Men's Qiang (Spear)-Group D
