Team,Athlete,Score,Remark,Form
USA,Rachel SU,8.73,,International Women's Group B Shuang Jian (Double Straight Sword/ Double Long Tassel Straight Sword)
USA,Angela WANG,0,,International Women's Group B Shuang Jian (Double Straight Sword/ Double Long Tassel Straight Sword)
INA,NANDHIRA MAURISKHA,8.92,1st Category Prize,International Women's Group C Shuang Jian (Double Straight Sword/ Double Long Tassel Straight Sword)
TUR,Elif AKYUZ,8.91,1st Category Prize,International Women's Group C Shuang Jian (Double Straight Sword/ Double Long Tassel Straight Sword)
UKR,LIUDMYLA TEMNA,8.9,2nd Category Prize,International Women's Group C Shuang Jian (Double Straight Sword/ Double Long Tassel Straight Sword)
RUS,Olga MENSHIKOVA,8.84,3rd Category Prize,International Women's Group C Shuang Jian (Double Straight Sword/ Double Long Tassel Straight Sword)
USA,Jacqueline WONG,8.8,3rd Category Prize,International Women's Group C Shuang Jian (Double Straight Sword/ Double Long Tassel Straight Sword)
KAZ,Traize Diana,8.73,3rd Category Prize,International Women's Group C Shuang Jian (Double Straight Sword/ Double Long Tassel Straight Sword)
CAN,Maria Bianca Ngo Go,8.71,,International Women's Group C Shuang Jian (Double Straight Sword/ Double Long Tassel Straight Sword)
USA,Janel TJIONG,8.68,,International Women's Group C Shuang Jian (Double Straight Sword/ Double Long Tassel Straight Sword)
USA,Courtney RANDOLPH,8.65,,International Women's Group C Shuang Jian (Double Straight Sword/ Double Long Tassel Straight Sword)
EGY,Hagar Mohamed Elsayed Farahat,8.36,,International Women's Group C Shuang Jian (Double Straight Sword/ Double Long Tassel Straight Sword)
USA,Alex NI,8.8,1st Category Prize,International Men's Group B Shuang Dao (Double Broadsword)
USA,William TEPPENPAW,8.71,2nd Category Prize,International Men's Group B Shuang Dao (Double Broadsword)
USA,Bryan GAO,8.69,3rd Category Prize,International Men's Group B Shuang Dao (Double Broadsword)
AUS,Jonathan Wong,8.66,3rd Category Prize,International Men's Group B Shuang Dao (Double Broadsword)
USA,Song Tian OU,8.63,,International Men's Group B Shuang Dao (Double Broadsword)
USA,Ava YU,8.81,1st Category Prize,International Women's Group B Other Traditional Double Weapon
USA,Keyi SHI,8.78,2nd Category Prize,International Women's Group B Other Traditional Double Weapon
RUS,Apolinariya KOZHEVNIKOVA,8.77,2nd Category Prize,International Women's Group B Other Traditional Double Weapon
RUS,Aleksandra MORKOVKINA,8.7,3rd Category Prize,International Women's Group B Other Traditional Double Weapon
USA,Katherine HU,8.68,3rd Category Prize,International Women's Group B Other Traditional Double Weapon
ROU,Obeanu Mara Georgia Alina,8.64,3rd Category Prize,International Women's Group B Other Traditional Double Weapon
USA,Rachel HO,8.62,,International Women's Group B Other Traditional Double Weapon
USA,Victoria NG,8.58,,International Women's Group B Other Traditional Double Weapon
UKR,Shamardina Anna,8.53,,International Women's Group B Other Traditional Double Weapon
NED,Lisa Muresu,0,,International Women's Group B Other Traditional Double Weapon
TPE,CHEN i lun,8.8,1st Category Prize,International Men's Group B Other Traditional Double Weapon
USA,Jubei D AMATO,8.78,1st Category Prize,International Men's Group B Other Traditional Double Weapon
USA,Minh THAI,8.76,2nd Category Prize,International Men's Group B Other Traditional Double Weapon
RUS,Vladimir STREBKOV,8.76,2nd Category Prize,International Men's Group B Other Traditional Double Weapon
RUS,Arseniii ULIANCHIK,8.74,2nd Category Prize,International Men's Group B Other Traditional Double Weapon
RUS,Vladislav ERASTOV,8.73,3rd Category Prize,International Men's Group B Other Traditional Double Weapon
POL,Lukasz Maslanka,8.72,3rd Category Prize,International Men's Group B Other Traditional Double Weapon
USA,Ayden NGUYEN,8.7,3rd Category Prize,International Men's Group B Other Traditional Double Weapon
PER,JORGE EUGENIO MAURO DEL CASTILLO,8.66,3rd Category Prize,International Men's Group B Other Traditional Double Weapon
PER,MARCO AURELIO CASTIGLIONE SANCHEZ,8.63,3rd Category Prize,International Men's Group B Other Traditional Double Weapon
SVK,Matus PRCIN,8.63,3rd Category Prize,International Men's Group B Other Traditional Double Weapon
USA,Lianhao LI,8.62,,International Men's Group B Other Traditional Double Weapon
UKR,Shamardin Bohdan,8.61,,International Men's Group B Other Traditional Double Weapon
PER,DIEGO ENRIQUE LOPEZ MAYO,8.59,,International Men's Group B Other Traditional Double Weapon
GER,Thomas Schneider,8.59,,International Men's Group B Other Traditional Double Weapon
UKR,Shcherbyna Danylo,8.58,,International Men's Group B Other Traditional Double Weapon
USA,Brandon LIU,8.36,,International Men's Group B Other Traditional Double Weapon
RUS,Oleg KHANDESHIN,9.03,1st Category Prize,International Men's Group C Other Traditional Double Weapon
RSA,Alexander Dirk DU PLESSIS,8.91,2nd Category Prize,International Men's Group C Other Traditional Double Weapon
USA,Krist CALDWELL,8.81,3rd Category Prize,International Men's Group C Other Traditional Double Weapon
MAC,LEI KEI IAN,8.8,3rd Category Prize,International Men's Group C Other Traditional Double Weapon
AUS,Corey Johnstone,8.79,,International Men's Group C Other Traditional Double Weapon
USA,Vincent MENG,8.75,,International Men's Group C Other Traditional Double Weapon
JPN,TOMOHIRO NAKATA,8.71,,International Men's Group C Other Traditional Double Weapon
RUS,Andrey BOYKOV,8.89,1st Category Prize,International Men's Group D Other Traditional Double Weapon
ITA,Giuseppe PATERNITI,8.78,2nd Category Prize,International Men's Group D Other Traditional Double Weapon
CAN,Stephan William Alexander,8.78,2nd Category Prize,International Men's Group D Other Traditional Double Weapon
UKR,Chaban Serhii,8.77,3rd Category Prize,International Men's Group D Other Traditional Double Weapon
MAS,BOO KHENG CHEONG,8.76,3rd Category Prize,International Men's Group D Other Traditional Double Weapon
SRI,W.K.SARATHCHANDRA,8.76,3rd Category Prize,International Men's Group D Other Traditional Double Weapon
SVK,Peter KYSEL,8.73,,International Men's Group D Other Traditional Double Weapon
UKR,Shamardin Andrii,8.72,,International Men's Group D Other Traditional Double Weapon
CAN,Warren Holt,8.69,,International Men's Group D Other Traditional Double Weapon
HKG,LIU Vincent,8.66,,International Men's Group D Other Traditional Double Weapon
MAS,POH CHYE CHNG,8.65,,International Men's Group D Other Traditional Double Weapon
TUR,Ayse Sude AKYUZ,8.8,1st Category Prize,International Women's Group A Other Traditional Double Flexible/Soft Weapon
USA,Mariella BRAYTON,8.71,2nd Category Prize,International Women's Group A Other Traditional Double Flexible/Soft Weapon
USA,Fiona BARNHART,8.7,3rd Category Prize,International Women's Group A Other Traditional Double Flexible/Soft Weapon
UKR,Khymchenko Kamila,8.68,3rd Category Prize,International Women's Group A Other Traditional Double Flexible/Soft Weapon
USA,Liana SEMET,8.6,,International Women's Group A Other Traditional Double Flexible/Soft Weapon
USA,Katherine YOUNG,8.6,,International Women's Group A Other Traditional Double Flexible/Soft Weapon
USA,Casey LEW,8.69,1st Category Prize,International Men's Group A Traditional Double Soft Weapon
USA,Kia NAMAKI,8.62,2nd Category Prize,International Men's Group A Traditional Double Soft Weapon
USA,Kael NGUYEN,8.57,3rd Category Prize,International Men's Group A Traditional Double Soft Weapon
USA,Jacob Lion PROANO,8.5,,International Men's Group A Traditional Double Soft Weapon
UKR,Ganna Tereshchenko,9.04,1st Category Prize,International Women's Group C Other Traditional Double Weapon
RUS,Evgeniya GRIBANOVA,8.95,1st Category Prize,International Women's Group C Other Traditional Double Weapon
USA,Sarah DARLING,8.94,2nd Category Prize,International Women's Group C Other Traditional Double Weapon
UKR,Berezina Olexandra,8.89,2nd Category Prize,International Women's Group C Other Traditional Double Weapon
JPN,TOMOKO KATO,8.83,2nd Category Prize,International Women's Group C Other Traditional Double Weapon
RSA,Sinead Ashley STARLEY,8.81,3rd Category Prize,International Women's Group C Other Traditional Double Weapon
COL,CHRISTINA GARCES VALENCIA,8.8,3rd Category Prize,International Women's Group C Other Traditional Double Weapon
POL,Beata Engel,8.77,3rd Category Prize,International Women's Group C Other Traditional Double Weapon
POL,Katarzyna Migdal,8.72,3rd Category Prize,International Women's Group C Other Traditional Double Weapon
USA,Julianna YIP,8.72,3rd Category Prize,International Women's Group C Other Traditional Double Weapon
MAC,CHU HIO IAN,8.72,3rd Category Prize,International Women's Group C Other Traditional Double Weapon
USA,Justine AGALOOS,8.68,,International Women's Group C Other Traditional Double Weapon
USA,Anna LI,8.66,,International Women's Group C Other Traditional Double Weapon
MEX,Maricela GUAJARDO,8.65,,International Women's Group C Other Traditional Double Weapon
JPN,RYOKO SAWANO,8.62,,International Women's Group C Other Traditional Double Weapon
USA,Queenie LI,8.58,,International Women's Group C Other Traditional Double Weapon
USA,Rachel LEE,8.79,1st Category Prize,International Women's Group B Other Traditional Flexible/Soft Weapon
USA,Kylie JONES,8.76,2nd Category Prize,International Women's Group B Other Traditional Flexible/Soft Weapon
TPE,WU yueh ling,8.74,2nd Category Prize,International Women's Group B Other Traditional Flexible/Soft Weapon
USA,Katherine HO,8.74,2nd Category Prize,International Women's Group B Other Traditional Flexible/Soft Weapon
USA,Nina FRIAS,8.7,3rd Category Prize,International Women's Group B Other Traditional Flexible/Soft Weapon
USA,Fiona WANG,8.69,3rd Category Prize,International Women's Group B Other Traditional Flexible/Soft Weapon
USA,Selina LEE,8.66,,International Women's Group B Other Traditional Flexible/Soft Weapon
ROU,Socaci Cindy Marie,8.66,,International Women's Group B Other Traditional Flexible/Soft Weapon
ROU,Cretu Iasmina Elena,8.64,,International Women's Group B Other Traditional Flexible/Soft Weapon
USA,Brandon CHENG,8.95,1st Category Prize,International Men's Group B Traditional Soft Weapon
NED,Dan Radulescu,8.85,1st Category Prize,International Men's Group B Traditional Soft Weapon
USA,Kevin CHANG,8.8,2nd Category Prize,International Men's Group B Traditional Soft Weapon
NED,Dorin Radulescu,8.78,2nd Category Prize,International Men's Group B Traditional Soft Weapon
USA,Ryan WONG,8.74,2nd Category Prize,International Men's Group B Traditional Soft Weapon
GER,Rafael Heise,8.73,2nd Category Prize,International Men's Group B Traditional Soft Weapon
USA,Bridge LIU,8.73,2nd Category Prize,International Men's Group B Traditional Soft Weapon
USA,Jack AQUI,8.72,3rd Category Prize,International Men's Group B Traditional Soft Weapon
JPN,HIDENORI TANIZAKI,8.67,3rd Category Prize,International Men's Group B Traditional Soft Weapon
USA,Frank WU,8.67,3rd Category Prize,International Men's Group B Traditional Soft Weapon
USA,Srinivas BALAGOPAL,8.65,3rd Category Prize,International Men's Group B Traditional Soft Weapon
MEX,Carlos VERA,8.64,,International Men's Group B Traditional Soft Weapon
USA,Christian TSAI,8.64,,International Men's Group B Traditional Soft Weapon
USA,Anson SHEU,8.61,,International Men's Group B Traditional Soft Weapon
USA,Vincent SHEU,8.6,,International Men's Group B Traditional Soft Weapon
USA,Eddie QIAN,8.59,,International Men's Group B Traditional Soft Weapon
USA,Bryant WANG,8.36,,International Men's Group B Traditional Soft Weapon
USA,Ethan DANCHO,8.33,,International Men's Group B Traditional Soft Weapon
ESP,LUIS CALLE PANIAGUA/FRANCISCO GARCIA MAZUECOS,9.05,1st Category Prize,International Bare hand vs. Bare hand Routine
RUS,Andrey MORKOVKIN/Oleg KHANDESHIN,9,1st Category Prize,International Bare hand vs. Bare hand Routine
FRA,MBOUYOM Franck/SAATENANG Dominique/BAZI Ichem,8.98,2nd Category Prize,International Bare hand vs. Bare hand Routine
ITA,Ivo ZEDDA/Alessandro PIRAS,8.91,2nd Category Prize,International Bare hand vs. Bare hand Routine
BOL,You Huang/Wanda Huang Calla,8.87,2nd Category Prize,International Bare hand vs. Bare hand Routine
AUS,Mitchell Chiew/Gee Jhung Siu,8.86,3rd Category Prize,International Bare hand vs. Bare hand Routine
KGZ,Liubov SERIAKOVA/Natalia NESHCHERET,8.84,3rd Category Prize,International Bare hand vs. Bare hand Routine
ECU,PAUL PACHARD/GERARDO RUBIO,8.74,3rd Category Prize,International Bare hand vs. Bare hand Routine
IRI,mahdi ramezanzadeh/shahriar ghasemipour nikbin,8.73,,International Bare hand vs. Bare hand Routine
POL,Lukasz Maslanka/Julia Augustyn,8.7,,International Bare hand vs. Bare hand Routine
UKR,Andriy Fehetsyn/ARTEM SUONG/ROMAN REVA,9,1st Category Prize,International Bare hand vs. Weapon Routine
USA,Xiaoyi CHEN,8.75,1st Category Prize,International Women's Group C Gun (Cudgel/Staff)
BRA,Tamiris de Moraes KATO,8.7,2nd Category Prize,International Women's Group C Gun (Cudgel/Staff)
BRA,Severina Marta Ferreira dos SANTOS,8.68,3rd Category Prize,International Women's Group C Gun (Cudgel/Staff)
RSA,Mohomotji Mapudi MARISHANE,8.64,,International Women's Group C Gun (Cudgel/Staff)
NED,Jose Ricardo Sousa,8.99,1st Category Prize,International Men's Group D Baton
RSA,Brennan John Dominicus GLANSBEEK,8.96,2nd Category Prize,International Men's Group D Baton
ARG,Gustavo Guarino,8.83,2nd Category Prize,International Men's Group D Baton
ECU,PAUL PACHARD,8.77,3rd Category Prize,International Men's Group D Baton
MAS,TATT LIN ONG,8.76,3rd Category Prize,International Men's Group D Baton
RSA,Albert Mthunzi LUTHULI,8.73,3rd Category Prize,International Men's Group D Baton
FRA,SOUMACHE Aton,8.65,,International Men's Group D Baton
PAR,Leonardo CABRERA,8.65,,International Men's Group D Baton
SRI,L.H NUWAN SANJEEWA,8.62,,International Men's Group D Baton
SRI,K.A.KRISHANTHA,8.54,,International Men's Group D Baton
HKG,NGAN Lok Man,8.97,1st Category Prize,International Men's Group B Nan Gun (Southern Staff/Cudgel)
TUR,Bedirhan CAPOGLU,8.95,2nd Category Prize,International Men's Group B Nan Gun (Southern Staff/Cudgel)
USA,Nicholas LI,8.92,3rd Category Prize,International Men's Group B Nan Gun (Southern Staff/Cudgel)
RUS,Nikita TITOV,8.9,3rd Category Prize,International Men's Group B Nan Gun (Southern Staff/Cudgel)
GRE,KLAVAS GEORGIOS,8.7,,International Men's Group B Nan Gun (Southern Staff/Cudgel)
MAS,WEI YE LEE,8.64,,International Men's Group B Nan Gun (Southern Staff/Cudgel)
USA,Han Mingzhe LI,8.62,,International Men's Group B Nan Gun (Southern Staff/Cudgel)
RUS,Aleksandra TOLSTIKOVA,8.88,1st Category Prize,International Women's Group C Nan Gun (Southern Staff/Cudgel)
UKR,OLENA BILA,8.78,2nd Category Prize,International Women's Group C Nan Gun (Southern Staff/Cudgel)
IND,KARAMJIT KAUR,8.74,3rd Category Prize,International Women's Group C Nan Gun (Southern Staff/Cudgel)
CZE,Veronika Partikova,8.7,3rd Category Prize,International Women's Group C Nan Gun (Southern Staff/Cudgel)
COL,MAIRA PAMELA GONZALEZ SIERRA,8.67,,International Women's Group C Nan Gun (Southern Staff/Cudgel)
MAS,SOO LING KEE,8.6,,International Women's Group C Nan Gun (Southern Staff/Cudgel)
UKR,Andriy Fehetsyn,9.02,1st Category Prize,International Men's Group C Nan Gun (Southern Staff/Cudgel)
HKG,ZHU Yuanpeng,9.02,1st Category Prize,International Men's Group C Nan Gun (Southern Staff/Cudgel)
RUS,Igor MOROZ,9.01,2nd Category Prize,International Men's Group C Nan Gun (Southern Staff/Cudgel)
YEM,BASSAM AHMED LWZA,8.93,3rd Category Prize,International Men's Group C Nan Gun (Southern Staff/Cudgel)
CAN,Daryl Whei Chin,8.79,3rd Category Prize,International Men's Group C Nan Gun (Southern Staff/Cudgel)
SRI,P.JEEWAN MADURANGA,8.77,3rd Category Prize,International Men's Group C Nan Gun (Southern Staff/Cudgel)
AUS,Gee Jhung Siu,8.73,,International Men's Group C Nan Gun (Southern Staff/Cudgel)
CAN,Colin Barry Young,8.62,,International Men's Group C Nan Gun (Southern Staff/Cudgel)
FRA,GU Nicolas,8.62,,International Men's Group C Nan Gun (Southern Staff/Cudgel)
MAC,NG CHAN PONG,8.97,1st Category Prize,International Men's Group C Qiang (Spear)
FRA,MBOUYOM Franck,8.88,2nd Category Prize,International Men's Group C Qiang (Spear)
BRA,Ellison de Sousa COSTA,8.85,3rd Category Prize,International Men's Group C Qiang (Spear)
MAC,MA CHON WONG,8.81,3rd Category Prize,International Men's Group C Qiang (Spear)
AUS,Kristoffer Eberius,8.8,,International Men's Group C Qiang (Spear)
BRA,Marco Aparecido Martim JUNIOR,8.77,,International Men's Group C Qiang (Spear)
FRA,BAZI Ichem,8.7,,International Men's Group C Qiang (Spear)
BRA,Fabricio OSAKU,8.8,1st Category Prize,International Men's Group C Daggers
POL,Tomasz Bilut,8.76,2nd Category Prize,International Men's Group C Daggers
MAS,CHUN ONN LIAU,8.7,3rd Category Prize,International Men's Group C Daggers
BRA,Miguel de Oliveira MANACERO,8.84,1st Category Prize,International Men's Group B Pudao
UKR,Yudin Bohdan,8.81,2nd Category Prize,International Men's Group B Pudao
RSA,Carlin GLANSBEEK,8.77,3rd Category Prize,International Men's Group B Pudao
CAN,Peter Nai Ming Guo,8.76,3rd Category Prize,International Men's Group B Pudao
USA,Abhirup DASGUPTA,8.59,,International Men's Group B Pudao
TUR,Necmettin erbakan AKYUZ,7.98,,International Men's Group B Pudao
RUS,Alexey NAZINKIN,9.15,1st Category Prize,International Men's Group C Pudao
UKR,ROMAN REVA,9.03,2nd Category Prize,International Men's Group C Pudao
MAC,KONG CHIN IEONG,8.88,2nd Category Prize,International Men's Group C Pudao
RSA,Matthew Harold AGNEW,8.8,3rd Category Prize,International Men's Group C Pudao
ITA,Alberto DI MUZIO,8.77,3rd Category Prize,International Men's Group C Pudao
SVK,Jan HARGAS,8.74,,International Men's Group C Pudao
HKG,LI Kwai Yuen,8.7,,International Men's Group C Pudao
MAR,MOHAMED AJBAH,8.7,,International Men's Group C Pudao
USA,Sen GAO,9.05,1st Category Prize,International Men's Group C Guandao (Kwan Dao)
TPE,LIN ting han,9,2nd Category Prize,International Men's Group C Guandao (Kwan Dao)
RUS,Vadim ASTAFEV,8.98,2nd Category Prize,International Men's Group C Guandao (Kwan Dao)
MAS,HENG XIAN LEE,8.95,3rd Category Prize,International Men's Group C Guandao (Kwan Dao)
EGY,Amir Elsayed Meabd Abdeltwab,8.93,3rd Category Prize,International Men's Group C Guandao (Kwan Dao)
SRI,H.M.P.MANURANGA,8.85,3rd Category Prize,International Men's Group C Guandao (Kwan Dao)
IRI,mohsen roozbahani,8.79,,International Men's Group C Guandao (Kwan Dao)
BRA,Everton DAVANZO,8.76,,International Men's Group C Guandao (Kwan Dao)
FRA,GIOT Robin,8.43,,International Men's Group C Guandao (Kwan Dao)
BOL,You Huang,8.91,1st Category Prize,International Men's Group D Guandao (Kwan Dao)
BRA,Marco Antonio CARDODO,8.84,2nd Category Prize,International Men's Group D Guandao (Kwan Dao)
RUS,Eduard KURCHENKO,8.79,3rd Category Prize,International Men's Group D Guandao (Kwan Dao)
IRI,hassan ghasemi soltanabadi,8.78,3rd Category Prize,International Men's Group D Guandao (Kwan Dao)
MAR,ABDELKADER BENGADARI,8.77,,International Men's Group D Guandao (Kwan Dao)
MAR,MOHAMED LAOUJ,8.73,,International Men's Group D Guandao (Kwan Dao)
USA,Kaylie SHOOK,8.63,1st Category Prize,International Women's Group A Traditional Single Weapon
USA,Rachel YANG,8.54,2nd Category Prize,International Women's Group A Traditional Single Weapon
USA,Elise YEUNG,8.51,3rd Category Prize,International Women's Group A Traditional Single Weapon
USA,Chloe SHIUE,8.45,3rd Category Prize,International Women's Group A Traditional Single Weapon
INA,KEISYA AZAHRA,8.41,,International Women's Group A Traditional Single Weapon
USA,John HU,8.5,1st Category Prize,International Men's Group A Traditional Single Weapon
TPE,CHEN yao tso,8.49,2nd Category Prize,International Men's Group A Traditional Single Weapon
USA,Michael LU,8.47,2nd Category Prize,International Men's Group A Traditional Single Weapon
USA,Noah YEUNG,8.46,3rd Category Prize,International Men's Group A Traditional Single Weapon
USA,Anthony GUAN,8.42,3rd Category Prize,International Men's Group A Traditional Single Weapon
USA,Daniel WANG,8.41,3rd Category Prize,International Men's Group A Traditional Single Weapon
USA,Banyan JULLIAN,8.41,3rd Category Prize,International Men's Group A Traditional Single Weapon
KAZ,Orazaly Ramazan,8.34,,International Men's Group A Traditional Single Weapon
USA,Brad WU,8.33,,International Men's Group A Traditional Single Weapon
MAS,KAI WEN YANG,8.28,,International Men's Group A Traditional Single Weapon
USA,Donghe ZHANG,8.28,,International Men's Group A Traditional Single Weapon
BOL,Huaskar Huanacuni Pinedo,7.73,,International Men's Group A Traditional Single Weapon
USA,Mia SHIUE,8.81,1st Category Prize,International Women's Group B Other Traditional Single Weapon
GEO,MARIAM TURMANIDZE,8.75,2nd Category Prize,International Women's Group B Other Traditional Single Weapon
TPE,WU pei chen,8.73,2nd Category Prize,International Women's Group B Other Traditional Single Weapon
MAC,WONG SAM UT,8.71,3rd Category Prize,International Women's Group B Other Traditional Single Weapon
TPE,CHEN yu han,8.69,3rd Category Prize,International Women's Group B Other Traditional Single Weapon
USA,Audrey YUNG,8.64,3rd Category Prize,International Women's Group B Other Traditional Single Weapon
LAT,Polina Malahova,8.62,,International Women's Group B Other Traditional Single Weapon
IRI,bahar jokar,8.56,,International Women's Group B Other Traditional Single Weapon
USA,Angela SONG,8.56,,International Women's Group B Other Traditional Single Weapon
ROU,Serbanescu Mara,8.42,,International Women's Group B Other Traditional Single Weapon
USA,Andre MAGNUM,8.9,1st Category Prize,International Men's Group B Other Traditional Single Weapon
GER,Jessy Merten,8.85,2nd Category Prize,International Men's Group B Other Traditional Single Weapon
TPE,KUO hsuan kai,8.77,2nd Category Prize,International Men's Group B Other Traditional Single Weapon
USA,Seth ROSEN,8.75,3rd Category Prize,International Men's Group B Other Traditional Single Weapon
USA,Mason BRAYTON,8.7,3rd Category Prize,International Men's Group B Other Traditional Single Weapon
INA,MUHAMMAD RAFID ARYOKUSUMO,8.68,3rd Category Prize,International Men's Group B Other Traditional Single Weapon
USA,Josh WEINSTEIN,8.67,3rd Category Prize,International Men's Group B Other Traditional Single Weapon
TPE,CHANG yu hsien,8.64,,International Men's Group B Other Traditional Single Weapon
LAT,Daniils Kirjusins,8.61,,International Men's Group B Other Traditional Single Weapon
ROU,Grigorescu Anton Adamani,8.57,,International Men's Group B Other Traditional Single Weapon
SRI,M.CHATHUSHAN PERERA,8.57,,International Men's Group B Other Traditional Single Weapon
PER,JOSE FELIX TATAJE MARTEL,8.36,,International Men's Group B Other Traditional Single Weapon
HKG,YUEN Ka Ying,9.15,1st Category Prize,International Women's Group C Other Traditional Single Weapon
CHN,LI DAN,9.06,1st Category Prize,International Women's Group C Other Traditional Single Weapon
UKR,Varlamova Nataliia,9.05,2nd Category Prize,International Women's Group C Other Traditional Single Weapon
HKG,LOR Sum Lok Holly,8.9,2nd Category Prize,International Women's Group C Other Traditional Single Weapon
RUS,Anastasia ANTIPINA,8.84,2nd Category Prize,International Women's Group C Other Traditional Single Weapon
NED,Linda Eleonora,8.82,3rd Category Prize,International Women's Group C Other Traditional Single Weapon
MAS,PEI CHEE LAI,8.78,3rd Category Prize,International Women's Group C Other Traditional Single Weapon
MAC,HAO LEI U,8.69,3rd Category Prize,International Women's Group C Other Traditional Single Weapon
CAN,Sincere Sin-Sze Ip,8.66,3rd Category Prize,International Women's Group C Other Traditional Single Weapon
KGZ,Gulfiia DZHOLCHUBEKOVA,8.65,3rd Category Prize,International Women's Group C Other Traditional Single Weapon
CZE,Alzbeta Rouzkova,8.62,,International Women's Group C Other Traditional Single Weapon
KGZ,Eles KOKUMBEK KYZY,8.58,,International Women's Group C Other Traditional Single Weapon
KGZ,Aisulu ASANKULOVA,8.56,,International Women's Group C Other Traditional Single Weapon
RSA,Nerine DU PLESSIS,8.5,,International Women's Group C Other Traditional Single Weapon
FRA,TEXIER Anne,8.41,,International Women's Group C Other Traditional Single Weapon
CAN,Kimberly Danielle Jordan,8.26,,International Women's Group C Other Traditional Single Weapon
USA,Ebert KAN,8.94,1st Category Prize,International Men's Group E Other Traditional Single Weapon
RUS,Vladimir INSANOV,8.86,1st Category Prize,International Men's Group E Other Traditional Single Weapon
MAS,EWE HOCK TEH,8.83,2nd Category Prize,International Men's Group E Other Traditional Single Weapon
BOL,Ernesto Rodriguez Sanchez,8.8,2nd Category Prize,International Men's Group E Other Traditional Single Weapon
MAS,SENG BOX SAW,8.79,3rd Category Prize,International Men's Group E Other Traditional Single Weapon
ARG,Juan Jose Naranjo,8.77,3rd Category Prize,International Men's Group E Other Traditional Single Weapon
KGZ,Evgenii LOPATKIN,8.76,3rd Category Prize,International Men's Group E Other Traditional Single Weapon
AUS,Brian Corless,8.75,,International Men's Group E Other Traditional Single Weapon
MAS,WENG SENG NG,8.75,,International Men's Group E Other Traditional Single Weapon
USA,Freddie HARPER,8.7,,International Men's Group E Other Traditional Single Weapon
YEM,SADDAM HUSSEIN AL-RAHOMI/HAMDI MANSOOR AL-YARESI,9.08,1st Category Prize,International Weapon vs. Weapon Routine
CAN,Lissy Liu/Maria Bianca Ngo Go,9.02,1st Category Prize,International Weapon vs. Weapon Routine
RUS,Aleksandra TOLSTIKOVA/Evgeniya GRIBANOVA,8.98,1st Category Prize,International Weapon vs. Weapon Routine
RSA,Matthew Harold AGNEW/Alexander Dirk DU PLESSIS/Martin Henry VENSKI,8.91,2nd Category Prize,International Weapon vs. Weapon Routine
NED,Henry Eleonora/Linda Eleonora,8.86,2nd Category Prize,International Weapon vs. Weapon Routine
HKG,LAM Chun Chung/LIU Vincent,8.85,2nd Category Prize,International Weapon vs. Weapon Routine
BRA,Selma Kazue SAKATE/Marco Aparecido Martim JUNIOR,8.82,2nd Category Prize,International Weapon vs. Weapon Routine
USA,Ayden NGUYEN/Alex NI,8.81,3rd Category Prize,International Weapon vs. Weapon Routine
LAT,Romans Vlasenko/Aleksejs Gailiss,8.8,3rd Category Prize,International Weapon vs. Weapon Routine
COL,URIEL DARIO VARELA MEJIA/PAULA ANDREA LOTERO GARNICA,8.77,3rd Category Prize,International Weapon vs. Weapon Routine
SVK,Marian SUSEDKA/Filip BARTOS,8.76,3rd Category Prize,International Weapon vs. Weapon Routine
TPE,WU yueh ling/LIU chang min,8.72,,International Weapon vs. Weapon Routine
GER,Jean Michel Merten/Thomas Schneider/Rafael Heise,8.72,,International Weapon vs. Weapon Routine
RUS,Vladimir MAXIMOV,9.08,1st Category Prize,International Men's Group C Jiu Jie Bian (Nine Section Whip Chain)
GER,Sven Teichmann,8.87,2nd Category Prize,International Men's Group C Jiu Jie Bian (Nine Section Whip Chain)
ITA,Antonino STORNIOLO,8.83,2nd Category Prize,International Men's Group C Jiu Jie Bian (Nine Section Whip Chain)
MAC,FOK CHAN KEONG,8.78,3rd Category Prize,International Men's Group C Jiu Jie Bian (Nine Section Whip Chain)
IRI,mahdi heidari esfandarani,8.76,3rd Category Prize,International Men's Group C Jiu Jie Bian (Nine Section Whip Chain)
MEX,Fernando CARDONA,8.73,,International Men's Group C Jiu Jie Bian (Nine Section Whip Chain)
USA,Jacob JANSEN,8.73,,International Men's Group C Jiu Jie Bian (Nine Section Whip Chain)
USA,Stanley D AMATO,8.67,,International Men's Group C Jiu Jie Bian (Nine Section Whip Chain)
ESP,LUIS CALLE PANIAGUA,8.98,1st Category Prize,International Men's Group C Other Traditional Flexible/Soft Weapon
USA,Jeffrey CHON,8.86,2nd Category Prize,International Men's Group C Other Traditional Flexible/Soft Weapon
USA,Tony LENG,8.84,3rd Category Prize,International Men's Group C Other Traditional Flexible/Soft Weapon
LAT,Aleksandrs Gorskis,8.72,,International Men's Group C Other Traditional Flexible/Soft Weapon
RUS,Andrey MORKOVKIN,9.02,1st Category Prize,International Men's Group C San Jie Gun (Three Section Staff)
USA,Roger ROSALES,8.91,2nd Category Prize,International Men's Group C San Jie Gun (Three Section Staff)
NED,Nelson da Luz Bentes,8.8,3rd Category Prize,International Men's Group C San Jie Gun (Three Section Staff)
ESP,VICENTE MIGUEL RAJA CATALA,8.62,3rd Category Prize,International Men's Group C San Jie Gun (Three Section Staff)
IRI,ali akbar hojjati pour,8.61,,International Men's Group C San Jie Gun (Three Section Staff)
