Rank	Bib	Athlete	NOC	Total				
16	01902	BEROUTSOS Charalampos	GRC	8.44		. Men's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
	00308	OUIDIR Lahcen	DZA	(DNS)		. Men's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
	01805	JANSEN Kai Frank	DEU	(DNS)		. Men's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
1	00927	YANG Fuhua	CHN	9.05	1ST Prize	. Men's Nandao (Southern Broadsword)-Group D	Wushu Taolu	Emeishan
2	03313	LOW Shun Quan Benette	SGP	8.95	2ND Prize	. Men's Nandao (Southern Broadsword)-Group D	Wushu Taolu	Emeishan
3	05201	CARELLA Nelso Cesar	ARG	8.87	3RD Prize	. Men's Nandao (Southern Broadsword)-Group D	Wushu Taolu	Emeishan
4	02019	NGAN Lok Man	HKG	8.82	3RD Prize	. Men's Nandao (Southern Broadsword)-Group D	Wushu Taolu	Emeishan
5	05005	NURMATOV Sherzod	TJK	8.67		. Men's Nandao (Southern Broadsword)-Group D	Wushu Taolu	Emeishan
6	05001	ABDULLO-ZODA Fayzullo	TJK	8.5		. Men's Nandao (Southern Broadsword)-Group D	Wushu Taolu	Emeishan
	03204	Thierno DIBA	SEN	(DNS)		. Men's Nandao (Southern Broadsword)-Group D	Wushu Taolu	Emeishan
1	02508	MAK Sherman Shu Hang	AUS	8.66	1ST Prize	. Men's Dao (Broadsword)-Group E	Wushu Taolu	Emeishan
2	03801	AVAGYAN Artashes	ARM	8.59	2ND Prize	. Men's Dao (Broadsword)-Group E	Wushu Taolu	Emeishan
3	01416	TAVARES DE ALMEIDA Sergio	PRT	8.56	3RD Prize	. Men's Dao (Broadsword)-Group E	Wushu Taolu	Emeishan
4	01941	ZERVAS Chrisovalantis	GRC	8.54	3RD Prize	. Men's Dao (Broadsword)-Group E	Wushu Taolu	Emeishan
5	00616	KRIGGER DOS SANTOS Rodrigo	BRA	8.51		. Men's Dao (Broadsword)-Group E	Wushu Taolu	Emeishan
6	01405	COLACO DAVID Daniel Goncalo	PRT	8.5		. Men's Dao (Broadsword)-Group E	Wushu Taolu	Emeishan
7	00602	ALMEIDA DA SILVA Evandro	BRA	8.49		. Men's Dao (Broadsword)-Group E	Wushu Taolu	Emeishan
	01916	LAMPADAS Theodoros	GRC	(DNS)		. Men's Dao (Broadsword)-Group E	Wushu Taolu	Emeishan
1	00904	CHEN Zhigang	CHN	8.73	1ST Prize	. Men's Other Single-Weapon Routines-Group E	Wushu Taolu	Emeishan
2	00936	ZHENG Wu	CHN	8.72	1ST Prize	. Men's Other Single-Weapon Routines-Group E	Wushu Taolu	Emeishan
3	00105	ROMERO Hrod	FRA	8.71	2ND Prize	. Men's Other Single-Weapon Routines-Group E	Wushu Taolu	Emeishan
4	00920	TIAN Hongwei	CHN	8.69	2ND Prize	. Men's Other Single-Weapon Routines-Group E	Wushu Taolu	Emeishan
5	00914	KANG Hongbin	CHN	8.64	2ND Prize	. Men's Other Single-Weapon Routines-Group E	Wushu Taolu	Emeishan
6	02305	OCHI Kenta	JPN	8.62	2ND Prize	. Men's Other Single-Weapon Routines-Group E	Wushu Taolu	Emeishan
7	00620	MINORU TANOSHI SéRgio	BRA	8.62	3RD Prize	. Men's Other Single-Weapon Routines-Group E	Wushu Taolu	Emeishan
8	01801	CHUCHOLOWSKI Frederic Emanuel	DEU	8.6	3RD Prize	. Men's Other Single-Weapon Routines-Group E	Wushu Taolu	Emeishan
9	00610	DIMANFA BONGIANNI Marcos	BRA	8.56	3RD Prize	. Men's Other Single-Weapon Routines-Group E	Wushu Taolu	Emeishan
10	00624	OLIVEIRA SANTOS Italo Jorge	BRA	8.56	3RD Prize	. Men's Other Single-Weapon Routines-Group E	Wushu Taolu	Emeishan
11	01514	SIRTO Edoardo Francesco Maria	ITA	8.55	3RD Prize	. Men's Other Single-Weapon Routines-Group E	Wushu Taolu	Emeishan
12	03509	JACOBS Bernard Paul	ZAF	8.54	3RD Prize	. Men's Other Single-Weapon Routines-Group E	Wushu Taolu	Emeishan
13	02810	ESCALANTE PEINADO Ivan Alberto	MEX	8.54		. Men's Other Single-Weapon Routines-Group E	Wushu Taolu	Emeishan
14	01924	PANAGOPOULOS Christos	GRC	8.52		. Men's Other Single-Weapon Routines-Group E	Wushu Taolu	Emeishan
14	02807	CORONA AGUILAR Daniel Benjamin	MEX	8.52		. Men's Other Single-Weapon Routines-Group E	Wushu Taolu	Emeishan
16	01918	MAKRIS Athanasios	GRC	8.51		. Men's Other Single-Weapon Routines-Group E	Wushu Taolu	Emeishan
17	04343	NG Chester Tse King	USA	8.49		. Men's Other Single-Weapon Routines-Group E	Wushu Taolu	Emeishan
18	03521	VAN DER MESCHT Thor	ZAF	8.46		. Men's Other Single-Weapon Routines-Group E	Wushu Taolu	Emeishan
19	04703	CHOO Hing How	MYS	8.43		. Men's Other Single-Weapon Routines-Group E	Wushu Taolu	Emeishan
20	01926	PAPACHARALAMPOUS Vasileios	GRC	8.37		. Men's Other Single-Weapon Routines-Group E	Wushu Taolu	Emeishan
21	02106	HERCZEG Andras	HUN	8.35		. Men's Other Single-Weapon Routines-Group E	Wushu Taolu	Emeishan
	01932	1STAMATOPOULOS Grigorios	GRC	(DNS)		. Men's Other Single-Weapon Routines-Group E	Wushu Taolu	Emeishan
	03201	Boubacar SAMBOU	SEN	(DNS)		. Men's Other Single-Weapon Routines-Group E	Wushu Taolu	Emeishan
1	00918	SHI Xiaolong	CHN	8.99	1ST Prize	. Men's Bajiquan-Group D	Wushu Taolu	Emeishan
2	02011	KWOK Kwan Ho	HKG	8.77	2ND Prize	. Men's Bajiquan-Group D	Wushu Taolu	Emeishan
3	05115	YUEN Kam Weng	MAC	8.75	2ND Prize	. Men's Bajiquan-Group D	Wushu Taolu	Emeishan
4	03805	YERITSYAN Gevorg	ARM	8.73	3RD Prize	. Men's Bajiquan-Group D	Wushu Taolu	Emeishan
5	04209	KRYSKO Viacheslav	UKR	8.7	3RD Prize	. Men's Bajiquan-Group D	Wushu Taolu	Emeishan
6	03305	KALUARACHCHI Devin Tharunuwan	SGP	8.65	3RD Prize	. Men's Bajiquan-Group D	Wushu Taolu	Emeishan
7	04347	SHEN Aspen Ziyang	USA	8.61		. Men's Bajiquan-Group D	Wushu Taolu	Emeishan
8	02813	GONZALEZ MARMOLEJO Luis Arturo	MEX	8.57		. Men's Bajiquan-Group D	Wushu Taolu	Emeishan
9	01519	ZEDDA Ivo	ITA	8.52		. Men's Bajiquan-Group D	Wushu Taolu	Emeishan
10	04921	THENNAKOON MUDIYANSELAGE Avishka Prasad Thennakoon	LKA	8.46		. Men's Bajiquan-Group D	Wushu Taolu	Emeishan
11	04350	SIGMON Kirk Allen	USA	8.43		. Men's Bajiquan-Group D	Wushu Taolu	Emeishan
	03804	MURADYAN Aram	ARM	(DNS)		. Men's Bajiquan-Group D	Wushu Taolu	Emeishan
1	00930	YANG Yalin	CHN	9.1	1ST Prize	. Men's Chaquan-Group D	Wushu Taolu	Emeishan
2	04218	ZHARUN Maksym	UKR	9	2ND Prize	. Men's Chaquan-Group D	Wushu Taolu	Emeishan
3	02008	HO Yin Ching	HKG	8.95	2ND Prize	. Men's Chaquan-Group D	Wushu Taolu	Emeishan
4	03304	DONG Xinyu	SGP	8.74	3RD Prize	. Men's Chaquan-Group D	Wushu Taolu	Emeishan
5	04515	ZVIRIN Jonathan	ISR	8.73	3RD Prize	. Men's Chaquan-Group D	Wushu Taolu	Emeishan
6	04369	ZHANG Alex Mushan	USA	8.66	3RD Prize	. Men's Chaquan-Group D	Wushu Taolu	Emeishan
7	03403	HATALA Patrik	SVK	8.56	3RD Prize	. Men's Chaquan-Group D	Wushu Taolu	Emeishan
8	03026	ZAMOLO Giuliano Isa	ROU	8.55		. Men's Chaquan-Group D	Wushu Taolu	Emeishan
9	01209	ROUCKA Michal	CZE	8.54		. Men's Chaquan-Group D	Wushu Taolu	Emeishan
10	04111	YALKIN Osman	TUR	8.52		. Men's Chaquan-Group D	Wushu Taolu	Emeishan
11	04603	DAVNAM Parth	IND	8.46		. Men's Chaquan-Group D	Wushu Taolu	Emeishan
12	04605	HUSSAIN Saddam	IND	8.4		. Men's Chaquan-Group D	Wushu Taolu	Emeishan
1	00922	WANG Qianlong	CHN	8.89	1ST Prize	. Men's Fanziquan-Group D	Wushu Taolu	Emeishan
2	00931	YANG Zhiwei	CHN	8.88	2ND Prize	. Men's Fanziquan-Group D	Wushu Taolu	Emeishan
3	02003	CHEN Jinsong	HKG	8.83	3RD Prize	. Men's Fanziquan-Group D	Wushu Taolu	Emeishan
4	01707	GULISASHVILI David	GEO	8.65	3RD Prize	. Men's Fanziquan-Group D	Wushu Taolu	Emeishan
5	03401	BARTOŠ Filip	SVK	8.58		. Men's Fanziquan-Group D	Wushu Taolu	Emeishan
6	04338	MANABE Katsumi Derek	USA	8.5		. Men's Fanziquan-Group D	Wushu Taolu	Emeishan
1	00901	CAO Shuai	CHN	8.9	1ST Prize	. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
2	01508	GAMBINO Michele	ITA	8.78	1ST Prize	. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
3	01920	MATHIOPOULOS Dimitrios Ioannis	GRC	8.76	1ST Prize	. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
4	02413	TRAIZE Arstan	KAZ	8.7	2ND Prize	. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
5	05004	KHURSHEDZODA Mirzodalerkhon	TJK	8.69	2ND Prize	. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
6	00102	GU Nicolas	FRA	8.66	2ND Prize	. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
7	03324	TEO Chee Wei	SGP	8.66	2ND Prize	. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
8	04214	REVA Roman	UKR	8.65	2ND Prize	. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
9	02401	BABENKO Alexey	KAZ	8.63	2ND Prize	. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
10	01414	RESENDE DE SOUSA Bruno Miguel	PRT	8.61	3RD Prize	. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
11	04109	KESKIN Ahmet Taha	TUR	8.59	3RD Prize	. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
12	03010	IANA Mihail Alexandru	ROU	8.59	3RD Prize	. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
13	01937	TSIKRIKAS Konstantinos	GRC	8.59	3RD Prize	. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
14	02603	GRABOVSKIS Aleksejs	LVA	8.59	3RD Prize	. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
15	02112	NITAS Laszló Oliver	HUN	8.58	3RD Prize	. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
16	03013	IOANA Marius Andrei	ROU	8.57	3RD Prize	. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
17	00633	TIBIRIÇÁ BATATA Victor Matheus	BRA	8.56	3RD Prize	. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
18	00706	Devante DARNELL-HAZLE	GBR	8.55	3RD Prize	. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
19	04003	ESSID Ahmed	TUN	8.55		. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
20	02911	MURSZEWSKI Maksymilian Grzegorz	POL	8.54		. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
21	00704	Connor James BLACK	GBR	8.54		. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
22	05003	JURAEV Abbos	TJK	8.54		. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
23	01315	MOUSTAFA MOUSTAFA Abbas Abbas	EGY	8.53		. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
24	04001	BELLOUMI Jihed	TUN	8.53		. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
25	02113	PETOCZ Levente	HUN	8.5		. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
26	03513	KUKARI Bonham Jayden Jimmy	ZAF	8.5		. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
27	00928	YANG Xinhua	CHN	8.49		. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
28	03501	BERRY Adam James	ZAF	8.48		. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
29	00402	VERHEYEN Jonathan	BEL	8.48		. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
30	02905	DZIECIELSKI Jakub	POL	8.46		. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
31	02808	CORREA IXTEPAN Diego Armando	MEX	8.42		. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
	00202	SAREER KHAN Zadran	AFG	(DNS)		. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
	03203	Mame Birane KANE	SEN	(DNS)		. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
	05006	TABAROV Fotekh	TJK	(DNS)		. Men's Shaolinquan-Group D	Wushu Taolu	Emeishan
1	04802	LIM Giovanni Moses	PHL	8.7	1ST Prize	. Men's Tanglangquan (Mantis Style)-Group D	Wushu Taolu	Emeishan
2	03105	GARCIA MAZUECOS Francisco	ESP	8.67	2ND Prize	. Men's Tanglangquan (Mantis Style)-Group D	Wushu Taolu	Emeishan
3	02115	SZATAI Zoltan	HUN	8.6	3RD Prize	. Men's Tanglangquan (Mantis Style)-Group D	Wushu Taolu	Emeishan
4	01520	ZEDDA Valerio	ITA	8.56	3RD Prize	. Men's Tanglangquan (Mantis Style)-Group D	Wushu Taolu	Emeishan
5	03601	ANDERSSON Ted Fredrik	SWE	8.51		. Men's Tanglangquan (Mantis Style)-Group D	Wushu Taolu	Emeishan
1	04206	KOLISNYK Oleksii	UKR	8.73	1ST Prize	. Men's Yingzhaoquan (Eagle Style)-Group D	Wushu Taolu	Emeishan
2	02817	LIRA LUNA Javier Arturo	MEX	8.65	2ND Prize	. Men's Yingzhaoquan (Eagle Style)-Group D	Wushu Taolu	Emeishan
3	02816	LIRA ACOSTA Jesus Alfredo	MEX	8.61	3RD Prize	. Men's Yingzhaoquan (Eagle Style)-Group D	Wushu Taolu	Emeishan
4	02812	GOMEZ RODRIGUEZ Angel Julian	MEX	8.6	3RD Prize	. Men's Yingzhaoquan (Eagle Style)-Group D	Wushu Taolu	Emeishan
5	02814	LEZAMA LUCERO Luis Antonio	MEX	8.5		. Men's Yingzhaoquan (Eagle Style)-Group D	Wushu Taolu	Emeishan
6	00621	MOREIRA DE ARAÚJO Fabio	BRA	8.45		. Men's Yingzhaoquan (Eagle Style)-Group D	Wushu Taolu	Emeishan
7	01902	BEROUTSOS Charalampos	GRC	8.39		. Men's Yingzhaoquan (Eagle Style)-Group D	Wushu Taolu	Emeishan
	04212	OLIINYK Andrii	UKR	(DNS)		. Men's Yingzhaoquan (Eagle Style)-Group D	Wushu Taolu	Emeishan
1	01804	HUYNH Christoph Ngoc-Son	DEU	8.76	1ST Prize	. Men's Xingyiquan-Group D	Wushu Taolu	Emeishan
2	04704	CHOONG Chee Wei	MYS	8.72	2ND Prize	. Men's Xingyiquan-Group D	Wushu Taolu	Emeishan
3	04103	AKYUZ NecmettİN Erbakan	TUR	8.7	2ND Prize	. Men's Xingyiquan-Group D	Wushu Taolu	Emeishan
4	04610	RAJPUT Rajat	IND	8.66	3RD Prize	. Men's Xingyiquan-Group D	Wushu Taolu	Emeishan
5	04601	BHATI Shivam	IND	8.65	3RD Prize	. Men's Xingyiquan-Group D	Wushu Taolu	Emeishan
6	03505	DU PLESSIS Alexander Dirk	ZAF	8.54		. Men's Xingyiquan-Group D	Wushu Taolu	Emeishan
7	04309	CUI Trevan Jiaheng	USA	8.49		. Men's Xingyiquan-Group D	Wushu Taolu	Emeishan
8	04609	PODAKANTI Satyajith Chary	IND	8.46		. Men's Xingyiquan-Group D	Wushu Taolu	Emeishan
	00306	BOUTOUBANE Yassine	DZA	(DNS)		. Men's Xingyiquan-Group D	Wushu Taolu	Emeishan
1	00921	WANG Dian	CHN	9	1ST Prize	. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
2	00501	GAO Sen	BOL	8.95	1ST Prize	. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
3	00934	ZHANG Yuyang	CHN	8.81	1ST Prize	. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
4	00608	DE OLIVEIRA MANACERO Miguel	BRA	8.72	2ND Prize	. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
5	04714	WONG Yu Wen	MYS	8.69	2ND Prize	. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
6	04709	KOW Zer Xuan	MYS	8.67	2ND Prize	. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
7	04219	ZHYVOTOK Heorhii	UKR	8.66	2ND Prize	. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
8	00101	ARISTIDE Julien	FRA	8.64	2ND Prize	. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
9	04606	JANGID Nakshatra	IND	8.63	2ND Prize	. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
10	02111	NITAS Kevin Janos	HUN	8.61	3RD Prize	. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
11	04203	HASHCHUK Artem	UKR	8.61	3RD Prize	. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
12	02602	GORSKIS Aleksandrs	LVA	8.59	3RD Prize	. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
13	02105	BALOGH Barnabas	HUN	8.57	3RD Prize	. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
14	02304	KOJIMA Ryuhei	JPN	8.57	3RD Prize	. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
15	03903	MURATBEK UULU Edil	KGZ	8.57	3RD Prize	. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
16	04613	SINGH Lokender	IND	8.56	3RD Prize	. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
17	04341	MO Don Hao	USA	8.56	3RD Prize	. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
18	04310	DIMEGLIO Charlene Jasmine	USA	8.55	3RD Prize	. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
19	04401	DAO Vi Dat	VNM	8.55		. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
20	03102	COLLADO SAIZ Francisco	ESP	8.54		. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
21	02811	FLORES PACHECO Jonathan Eber	MEX	8.53		. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
22	03803	AYDINYAN Aram	ARM	8.51		. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
23	01506	DI BENEDETTO Claudio	ITA	8.51		. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
24	00702	Brandon Lee SANDALLS	GBR	8.5		. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
25	01417	TOMÁS BARROSO Tiago	PRT	8.48		. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
26	00705	Daniel John Joseph SHAW-ABULAFIA	GBR	8.47		. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
27	02505	LEGASPI Regin Ryan Ralleca	AUS	8.44		. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
28	02917	WILCZYŃSKI Maciej BartłOmiej	POL	8.39		. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
29	03516	MONYAMA Maile Elvis	ZAF	8.32		. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
30	00919	SUI Tianqi	CHN	8.07		. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
31	01928	PAPAEFTHYMIOU Konstantinos	GRC	7.7		. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
	04103	AKYUZ NecmettİN Erbakan	TUR	(DNS)		. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
	01316	NASR IBRAHIM Tawﬁk Mossad Salem	EGY	(DNS)		. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
	02021	WONG Cho Wai Gabriel	HKG	(DNS)		. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
	03021	RADULESCU Dan Mihai	ROU	(DNS)		. Men's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
1	00108	SCHUR CHEN Annie	FRA	8.62	1ST Prize	. Women's Other Double-Weapon Routines -Group A/B/C	Wushu Taolu	Emeishan
2	02819	MENA TORRES Michelle	MEX	8.58	1ST Prize	. Women's Other Double-Weapon Routines -Group A/B/C	Wushu Taolu	Emeishan
3	04302	BRAYTON Mariella Tsan-Ling	USA	8.57	1ST Prize	. Women's Other Double-Weapon Routines -Group A/B/C	Wushu Taolu	Emeishan
4	04339	MARCEL Daniela Mckenzie	USA	8.56	2ND Prize	. Women's Other Double-Weapon Routines -Group A/B/C	Wushu Taolu	Emeishan
5	04374	ZHAO Hailey Hu	USA	8.54	2ND Prize	. Women's Other Double-Weapon Routines -Group A/B/C	Wushu Taolu	Emeishan
6	03520	VAN DER MESCHT Kitana Cora	ZAF	8.52	2ND Prize	. Women's Other Double-Weapon Routines -Group A/B/C	Wushu Taolu	Emeishan
7	02009	HUANG Susie	HKG	8.52	3RD Prize	. Women's Other Double-Weapon Routines -Group A/B/C	Wushu Taolu	Emeishan
8	01935	TOUROUTSIKA Christina	GRC	8.49	3RD Prize	. Women's Other Double-Weapon Routines -Group A/B/C	Wushu Taolu	Emeishan
9	05109	LEONG Wai Lam	MAC	8.47	3RD Prize	. Women's Other Double-Weapon Routines -Group A/B/C	Wushu Taolu	Emeishan
10	04312	DING Sabrina	USA	8.45	3RD Prize	. Women's Other Double-Weapon Routines -Group A/B/C	Wushu Taolu	Emeishan
11	03302	CHEN Haoran	SGP	8.45	3RD Prize	. Women's Other Double-Weapon Routines -Group A/B/C	Wushu Taolu	Emeishan
12	02310	SHIBATA Riin	JPN	8.43		. Women's Other Double-Weapon Routines -Group A/B/C	Wushu Taolu	Emeishan
13	03002	BANCOS Ema Alexandra	ROU	8.42		. Women's Other Double-Weapon Routines -Group A/B/C	Wushu Taolu	Emeishan
14	01925	PANAGOPOULOY Kyriaki	GRC	8.42		. Women's Other Double-Weapon Routines -Group A/B/C	Wushu Taolu	Emeishan
15	04702	CHONG Shin Yu	MYS	8.41		. Women's Other Double-Weapon Routines -Group A/B/C	Wushu Taolu	Emeishan
16	03006	DUMITRU Ana Maria	ROU	8.34		. Women's Other Double-Weapon Routines -Group A/B/C	Wushu Taolu	Emeishan
	04319	GORDON Ayla Nunnehi	USA	(DNS)		. Women's Other Double-Weapon Routines -Group A/B/C	Wushu Taolu	Emeishan
1	04101	AKYUZ Ayse Sude	TUR	8.7	1ST Prize	. Women's Shuangjian -Group C	Wushu Taolu	Emeishan
2	02022	WONG Man Ting	HKG	8.64	2ND Prize	. Women's Shuangjian -Group C	Wushu Taolu	Emeishan
3	04326	HUANG Sophie Qianshu	USA	8.55	3RD Prize	. Women's Shuangjian -Group C	Wushu Taolu	Emeishan
4	04006	JRIBI Chourouk	TUN	8.53	3RD Prize	. Women's Shuangjian -Group C	Wushu Taolu	Emeishan
5	04336	LY Elva Elizabeth	USA	8.51		. Women's Shuangjian -Group C	Wushu Taolu	Emeishan
1	04333	LI Winifred Zhen Ping	USA	8.49	1ST Prize	. Women's Other Single/Soft-Weapon Routines-Group A/B	Wushu Taolu	Emeishan
2	04712	LIM Verna	MYS	8.48	1ST Prize	. Women's Other Single/Soft-Weapon Routines-Group A/B	Wushu Taolu	Emeishan
3	02103	ARUTYUNJAN Aurora	HUN	8.47	1ST Prize	. Women's Other Single/Soft-Weapon Routines-Group A/B	Wushu Taolu	Emeishan
4	02023	WU Kai Yee	HKG	8.42	1ST Prize	. Women's Other Single/Soft-Weapon Routines-Group A/B	Wushu Taolu	Emeishan
5	04708	KONG Yean Thong	MYS	8.41	2ND Prize	. Women's Other Single/Soft-Weapon Routines-Group A/B	Wushu Taolu	Emeishan
6	01307	KARMEN ADEL Rashad Khater	EGY	8.4	2ND Prize	. Women's Other Single/Soft-Weapon Routines-Group A/B	Wushu Taolu	Emeishan
7	04713	SYAIDHA Hajarah	MYS	8.38	2ND Prize	. Women's Other Single/Soft-Weapon Routines-Group A/B	Wushu Taolu	Emeishan
8	02412	TRAIZE Arina	KAZ	8.36	2ND Prize	. Women's Other Single/Soft-Weapon Routines-Group A/B	Wushu Taolu	Emeishan
9	00632	SILVA VIANA Layla Ketelen	BRA	8.35	3RD Prize	. Women's Other Single/Soft-Weapon Routines-Group A/B	Wushu Taolu	Emeishan
10	02101	ARUTYUNJAN Adelaida	HUN	8.34	3RD Prize	. Women's Other Single/Soft-Weapon Routines-Group A/B	Wushu Taolu	Emeishan
11	04320	HAO Cindy Yuan	USA	8.33	3RD Prize	. Women's Other Single/Soft-Weapon Routines-Group A/B	Wushu Taolu	Emeishan
12	02805	ARAUZ NIEVES Luciana	MEX	8.31	3RD Prize	. Women's Other Single/Soft-Weapon Routines-Group A/B	Wushu Taolu	Emeishan
13	00619	MATOS RODRIGUES Ana Carla	BRA	8.29	3RD Prize	. Women's Other Single/Soft-Weapon Routines-Group A/B	Wushu Taolu	Emeishan
14	01904	BREZETOU Lydia	GRC	8.27	3RD Prize	. Women's Other Single/Soft-Weapon Routines-Group A/B	Wushu Taolu	Emeishan
15	01002	JIN Yinuo	CAN	8.25		. Women's Other Single/Soft-Weapon Routines-Group A/B	Wushu Taolu	Emeishan
16	03011	ILIE Soﬁa Maria	ROU	8.21		. Women's Other Single/Soft-Weapon Routines-Group A/B	Wushu Taolu	Emeishan
17	00506	HUANACUNI PINEDO Pakari Nayra	BOL	8.11		. Women's Other Single/Soft-Weapon Routines-Group A/B	Wushu Taolu	Emeishan
18	00631	SILVA CONCEICAO Lorena	BRA	8.1		. Women's Other Single/Soft-Weapon Routines-Group A/B	Wushu Taolu	Emeishan
19	04348	SHEN Caitlyn	USA	6.55		. Women's Other Single/Soft-Weapon Routines-Group A/B	Wushu Taolu	Emeishan
	04902	CHANDRASEKARA JAYARATHNA MUDIYANSELAGE Gimhani Akarshana Bogollagama	LKA	(DNS)		. Women's Other Single/Soft-Weapon Routines-Group A/B	Wushu Taolu	Emeishan
1	04406	LUU Pham Thanh Thanh	VNM	8.56	1ST Prize	. Women's Dao (Broadsword)-Group C	Wushu Taolu	Emeishan
2	02406	MAXUTOVA Zarina	KAZ	8.49	2ND Prize	. Women's Dao (Broadsword)-Group C	Wushu Taolu	Emeishan
3	01503	BASSI Giulia	ITA	8.47	3RD Prize	. Women's Dao (Broadsword)-Group C	Wushu Taolu	Emeishan
4	04715	WONG Zhong Wei	MYS	8.46	3RD Prize	. Women's Dao (Broadsword)-Group C	Wushu Taolu	Emeishan
5	01510	MARRA Lara	ITA	8.45		. Women's Dao (Broadsword)-Group C	Wushu Taolu	Emeishan
6	03802	AVAGYAN Siranush	ARM	8.44		. Women's Dao (Broadsword)-Group C	Wushu Taolu	Emeishan
7	01921	MICHOU Despoina	GRC	8.4		. Women's Dao (Broadsword)-Group C	Wushu Taolu	Emeishan
	04511	PUZIS Nikol	ISR	(DNS)		. Women's Dao (Broadsword)-Group C	Wushu Taolu	Emeishan
1	02601	BALASOVA Anﬁsa	LVA	8.69	1ST Prize	. Women's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
2	01906	FOTINOGIANNOPOULOU Konstantina	GRC	8.66	1ST Prize	. Women's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
